Date,Close/Last,Volume,Open,High,Low
07/14/2022,$111.44,32365540,$110.826,$111.9875,$109.3255
07/13/2022,$112.187,38958860,$112.639,$115.157,$111.823
07/12/2022,$114.8495,24970160,$116.8385,$117.8495,$114.615
07/11/2022,$116.5225,26830460,$118.65,$118.7945,$116.2345
07/08/2022,$120.1685,29082200,$117.55,$120.435,$117.514
07/07/2022,$119.306,32183940,$116.008,$119.862,$115.534
07/06/2022,$115.2135,28852680,$114.092,$116.352,$112.2505
07/05/2022,$113.887,36429380,$107.5145,$114.0526,$106.2495
07/01/2022,$109.081,31027880,$108.337,$109.8064,$107.105
06/30/2022,$109.3725,38046040,$110.4995,$111.3298,$107.31
06/29/2022,$112.2565,18627860,$112.1485,$113.6645,$111.554
06/28/2022,$112.5715,28316220,$116.351,$117.8565,$112.444
06/27/2022,$116.6225,32839300,$118.935,$119.25,$116.0008
06/24/2022,$118.538,39122760,$113.603,$118.6375,$113.603
06/23/2022,$112.6845,24709720,$112.95,$113.1965,$111.029
06/22/2022,$112.034,23921720,$111.163,$113.7695,$110.7243
06/21/2022,$112.015,39010280,$109.702,$112.673,$109.2935
06/17/2022,$107.8655,43516660,$106.535,$109.2495,$105.6285
06/16/2022,$106.636,35313240,$108.1495,$109.2905,$105.7925
06/15/2022,$110.3905,33192020,$108.8995,$112.063,$108.1188
06/14/2022,$107.194,25480940,$106.89,$108.4575,$106.352
06/13/2022,$106.8765,36756200,$107.446,$109.2185,$106.5881
06/10/2022,$111.4275,31349740,$112.7813,$113.497,$110.861
06/09/2022,$114.918,23141600,$116.3415,$118.35,$114.867
06/08/2022,$117.238,22544260,$116.8765,$118.646,$116.6968
06/07/2022,$117.2295,26413540,$115.648,$117.7486,$115.1255
06/06/2022,$117.0105,23786720,$116.7425,$119.3985,$116.5283
06/03/2022,$114.564,24952080,$115.9925,$116.3645,$113.668
06/02/2022,$117.746,27495400,$114.188,$117.898,$113.308
06/01/2022,$114.137,28629280,$114.9315,$117.399,$113.5505
05/31/2022,$114.039,51301920,$113.079,$116.4335,$112.5725
05/27/2022,$112.799,29924420,$109.7885,$112.868,$109.55
05/26/2022,$108.296,30287480,$106.0505,$108.9553,$105.488
05/25/2022,$105.8395,37899340,$105.142,$106.5447,$104.2113
05/24/2022,$105.926,60386380,$106.3775,$106.395,$102.208
05/23/2022,$111.6665,31558220,$110.104,$112.0055,$109.1543
05/20/2022,$109.313,37586020,$112.0855,$112.55,$106.373
05/19/2022,$110.7455,29191740,$111.841,$113.5875,$110.468
05/18/2022,$112.401,27982760,$115.2375,$115.6957,$112.142
05/17/2022,$116.7015,21576080,$117.2275,$117.2275,$115.3375
05/16/2022,$114.7925,23282380,$115.384,$116.6075,$114.335
05/13/2022,$116.5155,29737560,$114.8455,$118.085,$114
05/12/2022,$113.161,41464880,$111.938,$114.8565,$110.1135
05/11/2022,$113.961,36501640,$113.7105,$116.671,$113.65
05/10/2022,$114.5845,31157780,$116.0405,$116.691,$113.3833
05/09/2022,$113.084,34520960,$113.3035,$115.5629,$112.5515
